x,c_err,q_err
1.953173e+05,0.000000e+00,9.375114e-04
1.751920e+04,0.000000e+00,5.260546e-04
9.724505e+05,0.000000e+00,1.532931e-03
1.797371e+05,0.000000e+00,1.590112e-03
4.229818e+05,0.000000e+00,1.601408e-03
5.814877e+05,0.000000e+00,1.029233e-03
3.435268e+05,6.823236e-08,4.478090e-04
3.395270e+05,6.783397e-08,3.683385e-04
7.083782e+05,0.000000e+00,1.656764e-03
7.679059e+05,0.000000e+00,1.103395e-03
7.525979e+04,0.000000e+00,2.810440e-05
5.355356e+05,8.519309e-08,3.871174e-04
3.595166e+05,0.000000e+00,7.838797e-04
7.099413e+05,0.000000e+00,1.647997e-03
2.524646e+05,0.000000e+00,1.681699e-03
1.167419e+05,0.000000e+00,1.262179e-03
2.776353e+05,0.000000e+00,6.475719e-04
5.344002e+05,0.000000e+00,3.725797e-04
2.494733e+05,0.000000e+00,1.699152e-03
4.178071e+04,9.518271e-08,1.745270e-03
5.304269e+05,8.478575e-08,3.226098e-04
6.203835e+05,0.000000e+00,1.485899e-03
6.025978e+05,0.000000e+00,1.298435e-03
6.615704e+05,0.000000e+00,1.732519e-03
7.698164e+05,1.021419e-07,1.080150e-03
6.694144e+05,0.000000e+00,1.746284e-03
6.375528e+05,0.000000e+00,1.623070e-03
1.706972e+05,0.000000e+00,1.744789e-03
2.283965e+05,0.000000e+00,1.346388e-04
8.276154e+05,0.000000e+00,3.665439e-04
9.169613e+05,0.000000e+00,1.701141e-04
4.237138e+05,0.000000e+00,1.601959e-03
8.451346e+05,0.000000e+00,1.917834e-04
8.894118e+05,0.000000e+00,3.293691e-06
6.034509e+05,9.043387e-08,1.308307e-03
2.681163e+05,0.000000e+00,1.215361e-03
4.708995e+05,0.000000e+00,1.201176e-03
9.469776e+05,0.000000e+00,7.087233e-04
6.076433e+05,0.000000e+00,1.355858e-03
1.792778e+05,0.000000e+00,1.602767e-03
7.148836e+05,0.000000e+00,1.617698e-03
6.829031e+05,0.000000e+00,1.744646e-03
7.148134e+05,0.000000e+00,1.618111e-03
7.440018e+04,6.350781e-08,6.401587e-05
3.928444e+05,0.000000e+00,1.383727e-03
9.672780e+05,0.000000e+00,1.334666e-03
1.911421e+05,0.000000e+00,1.143442e-03
6.704796e+05,0.000000e+00,1.747292e-03
5.016782e+05,0.000000e+00,6.427452e-04
4.406154e+05,0.000000e+00,1.552304e-03
7.122604e+05,0.000000e+00,1.634181e-03
3.210507e+04,0.000000e+00,4.228570e-04
6.099893e+04,0.000000e+00,1.677749e-03
3.148581e+05,6.532321e-08,2.188328e-05
6.936755e+05,0.000000e+00,1.720635e-03
8.308153e+05,1.061115e-07,3.319167e-04
9.842726e+05,0.000000e+00,1.731635e-03
3.312282e+05,6.699985e-08,2.181515e-04
1.512581e+03,7.244183e-08,1.303736e-03
2.126690e+05,0.000000e+00,1.455968e-04
1.588436e+05,0.000000e+00,1.608325e-03
9.184739e+05,0.000000e+00,1.876591e-04
6.363828e+05,0.000000e+00,1.615265e-03
3.978189e+03,0.000000e+00,1.675299e-03
8.078857e+05,0.000000e+00,5.997790e-04
2.398336e+05,0.000000e+00,1.061903e-03
2.720945e+05,6.072535e-08,9.509590e-04
2.787852e+05,6.146742e-08,5.933450e-04
1.868113e+05,0.000000e+00,1.338523e-03
